번호,제목,가수,곡코드번호,가사
11,Black Out,아이유,30378160,"놔 봐 나 완벽해 멀쩡해
집에 안 가도 돼
정말 구구단도 가능해
칠칠에 사십구
안 믿는 거 다 알아
Nothing special
기분 좋아서 그래
Something special
절대 나 괜찮아 맹세해
아 너나 좀 잘해
어머 쟤네 둘이서 키스해
하라지 뭐 어때
가서 아무나 안아
Nothing special
기분 좋아서 그래
Something special
샌디에이고나 산티아고나
너는 상관없지
That she said
Course course I don't care
오늘 다시 안 오겠지
당연히 올 리가 없지
여기부턴 기억 안 할래
Hey ms. 델러 웨이
I love your party
이리 와서 나의 키스를 받아줘
사랑이 많은 건 전혀
나쁜 게 아니래요
잠깐 바닥이 일어났어
나 진짜 억울해
봐봐 쟤 나한테 인사해
오지 마 위험해
이상하게 보지 마
Nothing special
기분 좋아서 그래
Something special
두 갈래로 보일 때는
대개는 왼쪽이 맞아
That he said But 나 멀쩡해
오늘 다시 안 오겠지
당연히 올 리가 없지
여기부턴 기억 안 할래
Hey 거기 DJ I love your music
도대체 나를 어떻게 한 거야
다스베이더만 아니면
네가 내 첫사랑이야 Oh
Hey ms. 델러 웨이
I love your party
이리 와서 나의 키스를 받아줘
사랑이 많은 건 전혀
나쁜 게 아니래요
Hey 거기 DJ I love your music
도대체 나를 어떻게 한 거야
다스베이더만 아니면
네가 내 첫사랑이야 Oh"
12,Into the I-LAND,아이유,32698765,"I got pushed 떠밀려 왔어
오래도 찾아 헤맨 꿈의 문 앞에
내 안에 그 작은 노래가
작은 노래가 날 여기 데려왔어

외로워도 기댈 곳 없이
괴로워도 멈춤 없이
그저 참고 견딘 시간의 의미를

이제야 나 널 만난 후에야
손잡은 후에야 그 이유를 깨달아

Yeah I’m scared 두렵긴 하지만
힘차게 뛰어가 let's just try
It’s our chance 수없이 새겨진
지난 발자국이 알아

Woah oh
친구가 되어 함께 걸어줘
Let’s just run for our lives
Woah oh
손을 내밀어 그리고 약속해
Let’s just run for our lives

Woah oh
미래의 문이 열리고 약속의 그날이 보여
You & I
We can fly
넌 또 다른 나 난 또 다른 너
Let’s just run for our lives

Woah oh
너와 내 꿈의 I-LAND
Run for your heart run for your life
너와 내 꿈의 I-LAND
Run for your heart run for your life

외로워도 기댈 곳 없이
괴로워도 멈춤 없이
내게 지구는 꼭 무인도 같았어

But right now 넌 지금 내 옆에
지금 내 옆에 함께 달리고 있어

Yeah I’m scared 떨리고 있지만
멈추지 말고 가 let's just try
It’s our chance 수없이 새겨진
지난 발자국이 알아

Woah oh
친구가 되어 함께 걸어줘
Let’s just run for our lives
Woah oh
손을 내밀어 그리고 약속해
Let’s just run for our lives

Woah oh
‘I’란 섬과 섬 사이
작은 선을 이어서 단단한 다릴 지어
Now I & I & I & I are I-LAND
너와 난 너와 난 너와 난 하나인 거야

너와 내 꿈의 I-LAND
Run for your heart run for your life
너와 내 꿈의 I-LAND
Run for your heart run for your life

Woah oh
친구가 되어 함께 걸어줘
Let’s just run for our lives
Woah oh
손을 내밀어 그리고 약속해
Let’s just run for our lives

Woah oh
꿈은 현실에 꽃피고 꽃은 불꽃 속에 빛나
You & I
We can fly
넌 또 다른 나 난 또 다른 너
Let’s just run for our lives

Woah oh
Oh
Run for your dream"
13,Suga Luv (Feat. 아이유),비즈니즈,2213554,"Yes Special Love Song For U
My Beautiful Lady
U Know Only Boo
Finally We rendezvous
Bizniz IU Let's Go
Suga Suga 나만의 Suga
사탕처럼 달콤한 내 사랑
Suga Suga 오 이럴수가
사랑에 빠져버린거야
언제부턴가 잠이 잘 안와
그녀 생각에 시간이 안가
내게 찾아온 Romantic Drama
주인공은 역은 바로 너와 나
그대가 없던 내 삶은 메마른 사막
다나 할꺼없이 외로워서 막막
가끔은 헛 것이 보이는 착각 속
싫은 밤에 지새며 눈물을 닦아
그랬던 내게 찾아온 그대
이 세상은 우리만을 위한 무대
웃게 해줄게 내 모든걸 다 줄게
새끼 손가락을 걸고 약속해
그녀 건드리면 다 죽어 A
그대 떠나가면 난 죽어 A
Never Ever Never Ever Let U Go
One N Two N Three N Four
Suga Suga 나만의 Suga
사탕처럼 달콤한 내 사랑
Suga Suga 오 이럴수가
사랑에 빠져버린거야
L O V E Y O U
이 세상 오직 단 한사람
L O V E Y O U
영원히 그대를 사랑해
그댄 내 삶을 구원해준 원더걸
하루만 안 봐도 후덜덜
소녀시대 전부를 다 데려와도
그녀보다 예쁜 사람 없을걸
별자리를 볼 때도 그녀꺼 먼저
혈액형도 내꺼보단 그녀가 먼저
밀고 땡기고 변화구 견제구
난 오직 사랑의 직구만 던져
절대 못 보냈던 닭살문자
요즘은 거의 작살 수준
이제부터는 저녁밥도 굶자
멋진 모습 위해 운동도 꾸준히
이런 내 모습이 부럽지
너무나 행복한 U N ME
우리 사랑 이대로 영원히
지켜줄게 My L O V E
Suga Suga 나만의 Suga
사탕처럼 달콤한 내 사랑
Suga Suga 오 이럴수가
사랑에 빠져버린거야
너의 눈빛 Like Suga
너의 손길 Like Suga
너의 향기 Like Suga
너의 입술 Like Suga
너의 목소리 Like Suga
너의 모든걸 Like Suga
U Are So Sweet Girl
그댄 나만의 Dream Girl
Suga Suga 나만의 Suga
사탕처럼 달콤한 내 사랑
Suga Suga 오 이럴수가
사랑에 빠져버린거야
Suga Suga 나만의 Suga
반짝 반짝 그대는 Shining Star
Suga Suga 오 이럴수가
사랑에 빠져버린거야
L O V E Y O U
이 세상 오직 단 한사람
L O V E Y O U
영원히 그대를 사랑해"
14,달빛바다,아이유,3863651,"Yeah It's summer
어디라도 좋아
Falling love
오늘은 기어코 어디든지 가보자
이 여름 다 가기 전에 워우예에
물결이 들리고
풀이 많은 곳이 어때
솔직히 너랑은 어디라도 난 좋아
달빛바다 닮은 저 하늘
조각배처럼 예쁜 저 별들
Only for you
달빛 한 스푼
별빛 두 방울을
우리 추억에 담는 이 여름
달빛바다
Hey You
Just a feeling
Just a dreaming
바람을 따라서 가는거야
All right
내일은 기어코 다른 데서 눈 뜨자
젤 먼저 해 뜨는 데서
워우예에 어어어
부서진 파도에 무지개도 볼지 몰라
솔직히 너랑은 무얼 봐도 난 좋아
달빛바다 닮은 저 하늘
조각배처럼 예쁜 저 별들
Only for you
달빛 한 스푼
별빛 두 방울을
우리 추억에 담는 이 여름
달빛바다
Beautiful moon night
시원한 바다로 함께
떠나 보는건 어때 Yes
너와 함께라면 OK
내년 여름에도 우린 함께일거야
두 손을 꼭 잡고
오늘 얘길 나누게 될 걸
물빛하늘 닮은 저 바다
구름같은 파도가 밀려와
Only for you
여름마다 쌓인 추억들이
걸음마다 밟히는 이 여름
달빛바다"
15,마쉬멜로우,피에스타,2354532,"마쉬멜로우
말랑말랑 말랑말랑해
넌 특별해 완벽해 비교
분석 해봐도
다른 애들과는 다르지
달라 달라 boy
난 한심해 부족해 너에게서
떨어져 oh
바라 보기만 하는 바보지
내가 왜 이럴까 너만 생각하다
라랄라랄라라 날아 올라
바로 그때 어떡해 뚜벅뚜벅
니가 걸어와
불라불라 얘기를 하지 wow
무슨 말을 해도 들리지가 않아
째깍째깍 시간이 stop
마쉬멜로우 마쉬멜로우
달콤해서 너무 좋아
마쉬멜로우 마쉬멜로우
사랑이란 이런 걸까
말랑말랑 말랑해 너무
너무나 말랑해
girl girl baby girl
clap clap that ready girl
젤리처럼 통통해 쿠키처럼
촉촉해
boy boy baby boy boy
난 소심해 고민해 너를
떠올릴 때면
얼굴이 새빨게 지는 아이인걸
내가 왜 이럴까 너만 상상하다
라랄라랄라라 날아 올라
바로 그때 어떡해 두근두근
니가 다가와
사귀자고 대쉬를 하지
어떡해 어떡해
너의 목소리만 듣고 싶어 정말
가만가만 모두다 쉿
마쉬멜로우 마쉬멜로우
달콤해서 너무 좋아
마쉬멜로우 마쉬멜로우
사랑이란 이런 걸까
말랑말랑 말랑해 너무
너무나 말랑해
girl girl baby girl
clap clap that ready girl
젤리처럼 통통해 쿠키처럼
촉촉해
boy boy baby boy boy
꿈을 꿨나봐 눈을 뜨니까
거짓말 처럼 다 사라져
난 만날꺼야 다시 잘꺼야 몰라
마쉬멜로우 마쉬멜로우
달콤해서 너무 좋아
마쉬멜로우 마쉬멜로우
사랑이란 이런 걸까
말랑말랑 말랑해 너무
너무나 말랑해
girl girl baby girl
clap clap that ready girl
젤리처럼 통통해 쿠키처럼
촉촉해
boy boy baby boy boy
marshmallow"
16,나 말고 넷,아이유,2140971,"여보세요
나 정말 화났어
나 정말 화났어
그만 그만 그만 이제 그만
싫어 싫어 싫어 너무 싫어
거짓말이 내 눈에는 다 보여
다른 여잔 관심없단 그 말
너의 사랑 나 뿐이란 그 말
의심없이 바보같이 믿었지
두고봐 두고봐 넌 넌 넌 실수 했어
나 말고 더 있어 네 여잔
하나 둘 셋 넷
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
우리 둘이 딱 헤어져
싹싹 빌고 엉엉 울고
그래도 안 봐 줄래
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
여기까지 딱 좋았어
어머 어머 정말이야 끝이야
바람 피다 들키니까 어때
아니라며 잡아 떼면 뭘 해
빨리 빨리 사실대로 다 말해
두고봐 두고봐 넌 넌 넌 실수 했어
나 말고 더 있어 네 여잔
하나 둘 셋 넷
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
우리 둘이 딱 헤어져
싹싹 빌고 엉엉 울고
그래도 안 봐 줄래
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
여기까지 딱 좋았어
어머 어머 정말이야 끝이야
미안해 하니까 한 번만
봐 줄까 그래 볼까
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
어딨는지 뭘 하는지 하루에도
열 두번은 전화해 안 봐 줄래
뚜루뚜뚜 뚜뚜 뚜 뚜루뚜
거짓말을 또 한다면 그땐 정말
가만 안 둬 진짜야
약속해줘 너는 나만 사랑해"
17,삼촌 (Feat. 이적),아이유,3628515,"삼촌 이제 오세요
오늘도 술 좀 마신 건가요
그래도 한 손에는
조카들 좋아할 과자 들고서
너무 속상해 말아요
이리 치이고 저리 치여도
할머니 구박에도
기가 죽으면 안 돼요
난 믿어요 우리 삼촌을
개구쟁이 같은 얼굴
무릎 나온 츄리닝
언제 철이 들까 하면서도
지금이 좋아
철부지 삼촌이 귀여운 삼촌이 우
항상 내가 예쁘다
이 세상에서 제일 예쁘다
못 생긴 내 콧날도
한가인처럼 예쁘다 해주는
집안의 맨 끝방 신세
그래도 여친 데려온 날엔
어깨에 힘이 잔뜩
마치 우리 아빠만큼 커 보여
우리 삼촌은
개구쟁이 같은 얼굴
무릎 나온 츄리닝
언제 철이 들까 하면서도
지금이 좋아
철부지 삼촌이 귀여운 삼촌이 우
Check it out
좀만 기다려봐 봐
삼촌을 믿어봐 봐
작은 Papa 이제 난다
궁상맞은 내 모습
Bye Bye Bye Bye
삼촌 술 담배 좀 끊어
쪼그만게 지 아빠
닮아가지고 잔소리는
아유 장가는 가야 될 거 아니야
지겨워 죽겠어 그냥
하 그러게
개구쟁이 같은 얼굴
무릎 나온 츄리닝
언제 철이 들까 하면서도
지금이 좋아
철부지 삼촌이 귀여운 삼촌이 우
삼촌 짱"
18,Boo,아이유,2140966,"Think about it I U
Check it check I U
Boo boo boo True color present
내가 별로라는
외몰 갖고 있는 너라고
많이 안 좋아하는 버릇도
모조리 다 갖추고 있어
어쩜 스치기만 해도
엄청나게 싫은 얼굴로
널 쳐다봤어
네가 여자친구 없는 이율 알겠어
다른 애들보다 조금 수준 떨어져
하지만 며칠 뒤에
어느새 나도 모르게
거짓말처럼
You are my boo
내게 사랑을 줘 한 입만
Boo 맛있는 사랑을 할 거야
Boo 아이스크림보다 달콤한
My boo My my boo
언제나 나는
난 너만 사랑하고파
그냥 그냥 네 곁에만 있고파
아무 아무 것도 난 필요 없는 걸
My boo My my Boo boo
괜히 콧대 높고
쓸데 없이 눈만 높아서
나를 지나만 가는 남자도
모조리 다 점수를 매겨
이러네 저러네 말하고
꼼꼼하게 흠을 잡아도
좀 외로웠어
내가 남자친구 없는 이율 알겠어
다른 애들보다 너무 재기만 했어
하지만 며칠 뒤에 어느새
나도 모르게 거짓말처럼
You are my boo
내게 사랑을 줘 한 입만
Boo 맛있는 사랑을 할 거야
Boo 아이스크림보다 달콤한
My boo My my boo
언제나 나는
난 너만 사랑하고파
그냥 그냥 네 곁에만 있고파
아무 아무 것도 난 필요 없는 걸
My boo My my boo Boo
햇살이 좋은 날에
살짝 바람 부는 날에
단 둘이 단 둘이 네 손을 꼭 잡고
걷고 싶은 게 간절하니깐
너무나 신기해 You're my boy
You are my boo
하나만 물어보고 싶어
boo 내맘과 니맘이 같다면
boo 지금부터 나를 불러줘
My boo My my boo
언제나 나는
난 너만 사랑하고파
그냥 그냥 네 곁에만 있고파
아무 아무 것도 난 필요 없는 걸
My boo My my boo Boo boo"
19,소격동,아이유,5401276,"나 그대와 둘이 걷던
그 좁은 골목계단을 홀로 걸어요
그 옛날의 짙은 향기가
내 옆을 스치죠
널 떠나는 날 사실 난
등 밑 처마 고드름과 참새소리
예쁜 이 마을에 살 거예요
소격동을 기억하나요
지금도 그대로 있죠
아주 늦은 밤 하얀 눈이 왔었죠
소복이 쌓이니 내 맘도 설레었죠
나는 그 날 밤 단 한숨도 못 잤죠
잠들면 안돼요
눈을 뜨면 사라지죠
어느 날 갑자기 그 많던 냇물이
말라갔죠
내 어린 마음도 그 시냇물처럼
그렇게 말랐겠죠
너의 모든 걸 두 눈에 담고 있었죠
소소한 하루가 넉넉했던 날
그러던 어느 날 세상이 뒤집혔죠
다들 꼭 잡아요
잠깐 사이에 사라지죠
잊고 싶진 않아요
하지만 나에겐
사진 한 장도 남아있지가 않죠
그저 되뇌이면서 되뇌이면서
나 그저 애를 쓸 뿐이죠
아주 늦은 밤 하얀 눈이 왔었죠
소복이 쌓이니 내 맘도 설레었죠
나는 그 날 밤 단 한숨도 못 잤죠
잠들면 안돼요
눈을 뜨면 사라지죠"
20,이 지금,아이유,30378155,"이건 비밀이야
아무에게도 고백하지 않았던
이야기를 들려주면
큰 눈으로 너는 묻지
How wow wow Whatever
나 실은 말이야
저기 아득한 미래로부터 날아왔어
쏟아질 듯이 빼곡한 별들 사이를 지나
Fly fly fly
있지 그곳도 사실 바보들 투성이야
아니 매우 반짝이는 건 오히려
Now now now
이 하루 이 지금 우리
눈부셔 아름다워
이 불꽃놀이는 끝나지 않을 거야
Ooh Whatever
흐린 날이면
거짓말처럼 무섭게 깜깜했지
새침데기 태양은 뜨겁기는커녕
peacock
Blue blue blue Whatever
매일매일
제멋대로인 바람결을 땋아서 만든
이 나침반이 가리킨 그곳에서 발견
Oh That's you you yes you
있지 저런 건 그저 자그만 돌멩이야
빛이 나는 건 여기 있잖아
Life is cool cool cool
시간은 많아 이대로면 아마
영원히 살 수 있지 않을까
안녕 나의 주인공 그래 너를 만나러 나
짜잔 우아하게 등장
바로 이 하루 이 지금 우리
눈부셔 아름다워
나는 확실히 알아 오늘의 불꽃놀이는
끝나지 않을 거야
우우우 우우우
우우우 우우우
더 놀라운 건 지금부터야"
