Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,53600.0,53800.0,52400.0,52700.0,52700.0,887667
2023-01-03,52400.0,53500.0,51400.0,53300.0,53300.0,1420569
2023-01-04,53200.0,56000.0,53100.0,55700.0,55700.0,2241411
2023-01-05,55800.0,58200.0,55700.0,57700.0,57700.0,3046064
2023-01-06,57200.0,58000.0,56500.0,57200.0,57200.0,1420345
2023-01-09,58700.0,61200.0,58300.0,61100.0,61100.0,3482961
2023-01-10,60700.0,61700.0,60400.0,60700.0,60700.0,2178323
2023-01-11,61700.0,62500.0,60800.0,61900.0,61900.0,2544430
2023-01-12,63000.0,63400.0,61100.0,61500.0,61500.0,2197974
2023-01-13,62100.0,63000.0,61500.0,62000.0,62000.0,2248562
2023-01-16,62300.0,65000.0,62000.0,64500.0,64500.0,2989321
2023-01-17,64500.0,64500.0,61400.0,61800.0,61800.0,3194397
2023-01-18,61500.0,62500.0,61100.0,61600.0,61600.0,1650067
2023-01-19,61100.0,61400.0,60200.0,60800.0,60800.0,1687361
2023-01-20,60500.0,61900.0,60500.0,61200.0,61200.0,1376217
2023-01-25,62500.0,63800.0,62100.0,62600.0,62600.0,13273
2023-01-26,62800.0,63700.0,61700.0,62600.0,62600.0,17163
2023-01-27,64000.0,65500.0,63400.0,64700.0,64700.0,10914
2023-01-30,64800.0,65400.0,63200.0,63300.0,63300.0,13479
2023-01-31,62700.0,63500.0,61200.0,61900.0,61900.0,15943
2023-02-01,62000.0,62900.0,61400.0,62200.0,62200.0,9913
2023-02-02,64400.0,65200.0,63700.0,64500.0,64500.0,45027
2023-02-03,64900.0,67500.0,64500.0,67200.0,67200.0,33471
2023-02-06,66500.0,67100.0,65200.0,65200.0,65200.0,15674
2023-02-07,65300.0,68800.0,64900.0,68600.0,68600.0,49709
2023-02-08,68500.0,69900.0,68200.0,69100.0,69100.0,17041
2023-02-09,67900.0,71300.0,67100.0,69100.0,69100.0,26142
2023-02-10,69200.0,70200.0,66300.0,67600.0,67600.0,39929
2023-02-13,66700.0,66800.0,64200.0,64300.0,64300.0,35598
2023-02-14,65400.0,66400.0,64800.0,65000.0,65000.0,18061
2023-02-15,64600.0,64700.0,62600.0,63600.0,63600.0,12426
2023-02-16,64400.0,65200.0,63500.0,64200.0,64200.0,21062
2023-02-17,63000.0,64400.0,62400.0,63300.0,63300.0,15022
2023-02-20,63400.0,64500.0,62800.0,64200.0,64200.0,11681
2023-02-21,64500.0,64700.0,63000.0,63100.0,63100.0,14467
2023-02-22,61900.0,63000.0,61500.0,62200.0,62200.0,13029
2023-02-23,62600.0,63200.0,62200.0,62500.0,62500.0,14051
2023-02-24,62500.0,62900.0,61600.0,61800.0,61800.0,13400
2023-02-27,61400.0,62200.0,61000.0,61900.0,61900.0,1407458
2023-02-28,62000.0,63400.0,61900.0,62400.0,62400.0,1870108
2023-03-02,62200.0,62400.0,60800.0,61200.0,61200.0,1842975
2023-03-03,61600.0,62200.0,60900.0,61000.0,61000.0,1250945
2023-03-06,61200.0,63800.0,61100.0,63600.0,63600.0,2768767
2023-03-07,63000.0,63100.0,61400.0,61500.0,61500.0,2322926
2023-03-08,61200.0,61200.0,59000.0,59100.0,59100.0,2935338
2023-03-09,59700.0,60600.0,58900.0,59000.0,59000.0,1949722
2023-03-10,57900.0,58400.0,57500.0,58100.0,58100.0,2009728
2023-03-13,60300.0,62400.0,58800.0,60800.0,60800.0,5720123
2023-03-14,60600.0,61100.0,59200.0,59400.0,59400.0,2192551
2023-03-15,60600.0,60800.0,58800.0,59300.0,59300.0,1885060
2023-03-16,58400.0,60300.0,58100.0,59900.0,59900.0,1976894
2023-03-17,60600.0,61200.0,59800.0,60200.0,60200.0,1658486
2023-03-20,60200.0,62000.0,60200.0,61000.0,61000.0,2051491
2023-03-21,61400.0,61700.0,60500.0,60900.0,60900.0,1093952
